"order_number"	"l1"	"l2"	"l3"	"sku"	"brand"
"482732"	"Safety"	"Workwear"	"Headbands, Sweatbands and Cooling Headwear"	"222873"	"3006"
"871578"	"Safety"	"Identification Products"	"Repair and Inspection Tags"	"217083"	"50"
"479778"	"Lubrication"	"Lubricant Storage and Dispensing"	"Lubrication Containers"	"197957"	"3020"
"367595"	"Electrical"	"Wire Management"	"Cable Ties"	"163930"	"3271"
"545097"	"Hardware"	"Hardware Supplies"	"Tarps"	"76491"	"1793"
"101568"	"Safety"	"Signs"	"Safety Signs"	"153595"	"2548"
"173984"	"Cleaning"	"Rags and Wipes"	"Cleaning Rags"	"284264"	"34"
"180827"	"Lubrication"	"Greases"	"Multipurpose Greases"	"43823"	"2795"
"339808"	"Safety"	"Gloves and Hand Protection"	"Leather Work Gloves"	"205929"	"934"
"795285"	"Abrasives"	"Specialty Abrasives and Kits"	"Sanding Cross Pads"	"19800"	"2713"
"843516"	"Lubrication"	"Lubricants and Penetrants"	"Multipurpose Lubricant"	"107404"	"994"
"353804"	"Pneumatics"	"Pneumatic Hoses"	"Air Hoses"	"60444"	"3966"
"859201"	"Fasteners"	"Nuts"	"Hex Nuts"	"81494"	"1793"
"185956"	"Cleaning"	"Personal Care Products"	"Hand Cleaner"	"196413"	"1767"
"771266"	"Hand Tools"	"Cutting Tools"	"Wire Strippers and Cable Slitters"	"290340"	"2246"
"258067"	"Machining"	"Drilling Tools"	"Indexable Insert Drills"	"262022"	"3674"
"784029"	"Cleaning"	"Cleaning Chemicals"	"Degreasers"	"189168"	"4815"
"570114"	"Furniture, Hospitality and Food Service"	"Food Service Disposables and Dispensers"	"Disposable Cups"	"51469"	"1152"
"111984"	"Safety"	"Eye Protection and Accessories"	"Safety Glasses"	"201118"	"9"
"95367"	"Material Handling"	"Storage Bins and Containers"	"Parts Chests and Boxes"	"124825"	"1551"
"601691"	"Cleaning"	"Cleaning Chemicals"	"Drain Cleaners and Maintainers"	"172680"	"4355"
"649979"	"Cleaning"	"Cleaning Chemicals"	"Glass Cleaners"	"289646"	"3990"
"683478"	"Safety"	"Head Protection"	"Hard Hats"	"115635"	"2847"
"566085"	"Electrical"	"Wire Management"	"Cable Clips"	"305102"	"1793"
"255901"	"Lighting"	"Lamps"	"HID Lamps and Bulbs"	"296549"	"1694"
"565917"	"Electrical"	"Fuses"	"American Glass and Ceramic Fuses"	"266482"	"1303"
"168266"	"Power Tools"	"Power Saws and Accessories"	"Reciprocating Saw Blades"	"192198"	"2768"
"789953"	"Safety"	"Gloves and Hand Protection"	"Disposable Gloves"	"49012"	"258"
"700098"	"Test Instruments"	"Electrical Power Testing"	"Voltage Detectors"	"113076"	"1596"
"449035"	"Electronics, Appliances, and Batteries"	"Batteries"	"Coin and Button Cell Batteries"	"111428"	"1231"
"809681"	"Lubrication"	"Oils"	"Air Compressor and Air Tool Oil"	"28207"	"2117"
"624670"	"Machining"	"Machine Cutting Tools"	"Jobber Length Drill Bits"	"240582"	"860"
"701116"	"HVAC and Refrigeration"	"Industrial Blowers and Accessories"	"Backward Incline Blowers"	"323830"	"1068"
"504086"	"Electrical"	"Electrical Boxes"	"Electrical Box Accessories"	"192887"	"1793"
"627540"	"HVAC and Refrigeration"	"Central Equipment"	"HVAC Brushes"	"188321"	"4355"
"837660"	"HVAC and Refrigeration"	"Ductwork, Venting, Fittings and Caps"	"Grilles"	"254388"	"1793"
"810835"	"Cleaning"	"Personal Care Products"	"Bar Soap"	"211190"	"2424"
"374699"	"Hand Tools"	"Measuring and Layout Tools"	"Rules and Straight Edges"	"302297"	"2786"
"399958"	"Cleaning"	"Personal Care Products"	"Foam Soap"	"41807"	"1767"
"117707"	"Safety"	"Signs"	"Security Signs"	"302082"	"585"
"190274"	"Power Tools"	"Power Drills"	"Hammer Drills"	"252095"	"1113"
"165875"	"Fasteners"	"Thread Insert"	"Thread Insert Tools"	"295946"	"1793"
"482732"	"Safety"	"Gloves and Hand Protection"	"Cut-Resistant Gloves"	"88231"	"258"
"762137"	"Power Transmission"	"Sheaves and Pulleys"	"V-Belt Pulleys"	"203347"	"939"
"479778"	"Lubrication"	"Lubricant Storage and Dispensing"	"Lubrication Container Accessories"	"197933"	"3020"
"367595"	"HVAC and Refrigeration"	"Air Filters"	"Filter Media Rolls"	"111854"	"123"
"545097"	"Safety"	"Fall Protection"	"Harnesses"	"196761"	"2761"
"101568"	"Safety"	"Signs"	"Safety Signs"	"156445"	"2548"
"173984"	"Cleaning"	"Floor Care"	"Floor Cleaners and Maintainers"	"103296"	"4355"
"407685"	"Safety"	"Respiratory"	"Spectacle Kits and Lens Covers"	"281322"	"2847"
"339808"	"Safety"	"Traffic Safety"	"Barrier, Flagging and Underground Tapes"	"34118"	"1793"
"719896"	"Safety"	"First Aid and Wound Care"	"Topical Ointments, Creams, and Antiseptics"	"202632"	"220"
"843516"	"Lubrication"	"Lubricants and Penetrants"	"Multipurpose Lubricant"	"19206"	"3989"
"418940"	"Hand Tools"	"Screwdrivers and Nutdrivers"	"Screwdrivers"	"5329"	"1815"
"316527"	"Safety"	"Identification Products"	"Number Tags"	"35655"	"1793"
"185956"	"Cleaning"	"Cleaning Chemicals"	"Disinfectants and Sanitizers"	"168118"	"4355"
"819185"	"HVAC and Refrigeration"	"HVAC Controls and Thermostats"	"Fan Coil Thermostats"	"44309"	"4710"
"258067"	"Pneumatics"	"Valves"	"Pneumatic Flow Control And Needle Valves"	"239283"	"3117"
"784029"	"Cleaning"	"Cleaning Chemicals"	"Degreasers"	"189168"	"4815"
"570114"	"Furniture, Hospitality and Food Service"	"Food Service Disposables and Dispensers"	"Disposable Cups"	"106656"	"1473"
"124591"	"Office Supplies"	"Writing and Correction"	"Highlighters"	"114747"	"3789"
"95367"	"Material Handling"	"Storage Bins and Containers"	"Parts Chests and Boxes"	"191367"	"1551"
"601691"	"Cleaning"	"Brooms, Brushes, and Dust Pans"	"Trash Pickers and Grabbers"	"13463"	"4355"
"649979"	"Power Tools"	"Drilling Accessories"	"Hole Saws"	"199299"	"2768"
"582889"	"Safety"	"Footwear and Footwear Accessories"	"Steel-Toe Work Boots and Shoes"	"131569"	"4746"
"285935"	"Fasteners"	"Key Stock"	"Key Stock"	"294041"	"1793"
"372519"	"Lubrication"	"Lubricants and Penetrants"	"Corrosion Inhibitors"	"321225"	"2083"
"565917"	"Electrical"	"Ground Fault Protection"	"GFCI Receptacles"	"177196"	"2034"
"775374"	"Plumbing"	"Replacement Parts"	"Parts"	"126846"	"3874"
"374319"	"Safety"	"Gloves and Hand Protection"	"Chemical Resistant Gloves"	"101157"	"258"
"700098"	"Power Tools"	"Drilling Accessories"	"Step Drill Bits"	"36108"	"1815"
"361747"	"Office Supplies"	"Binders and Clipboards"	"Clipboards"	"114278"	"1793"
"809681"	"Safety"	"Eye Protection and Accessories"	"Safety Glasses"	"243720"	"9"
"151890"	"Safety"	"Gloves and Hand Protection"	"Disposable Gloves"	"216105"	"3813"
"701116"	"Power Transmission"	"Power Transmission Belts"	"V-Belts"	"252182"	"1068"
"152372"	"Pneumatics"	"Hose Reels"	"Motor Driven and Hand Crank Hose Reels"	"254862"	"3489"
"669547"	"Power Transmission"	"Couplings, Collars, and Adapters"	"Jaw Coupling Hubs"	"265824"	"4209"
"796130"	"HVAC and Refrigeration"	"HVAC Controls and Thermostats"	"Line Voltage Mechanical Thermostats"	"209524"	"3284"
"810835"	"Pumps"	"Pump Controls"	"Float Switches"	"204245"	"2499"
"374699"	"Hand Tools"	"Measuring and Layout Tools"	"Rules and Straight Edges"	"302304"	"2786"
"399958"	"Cleaning"	"Cleaning Chemicals"	"Toilet Bowl Cleaners"	"114159"	"4355"
"117707"	"Safety"	"Signs"	"Security Signs"	"247451"	"585"
"190274"	"Electrical"	"Raceways"	"Raceway Fittings and Accessories"	"205120"	"4735"
"165875"	"Fasteners"	"Thread Insert"	"Key Locking Inserts"	"295928"	"1793"
"482732"	"Hand Tools"	"Marking Tools"	"Paint Markers"	"38784"	"4477"
"762137"	"Electrical"	"Wire Management"	"Cable Ties"	"163917"	"3271"
"645238"	"Lubrication"	"Fittings"	"Grease Fittings"	"288037"	"1793"
"367595"	"HVAC and Refrigeration"	"Air Filters"	"Filter Media Pads"	"301702"	"123"
"545097"	"Hand Tools"	"Drywall and Plastering Tools"	"Putty/Joint Knives, Spatulas, Scrapers"	"324970"	"2055"
"101568"	"Safety"	"Signs"	"Safety Signs"	"156445"	"2548"
"173984"	"Cleaning"	"Personal Care Products"	"Hand Sanitizer, Lotion, and Soap Dispensers"	"37462"	"1767"
"387075"	"Hand Tools"	"Plumbing Tools"	"Pipe and Tubing Cutters"	"190768"	"2101"
"339808"	"Safety"	"Face Protection"	"Faceshield Replacement Visors"	"84356"	"3757"
"719896"	"Safety"	"First Aid and Wound Care"	"Medicinals, Non Prescription Medication"	"320213"	"220"
"843516"	"Adhesives, Sealants and Tape"	"Tapes"	"Duct and Cloth Tapes"	"18690"	"9"
"456965"	"Abrasives"	"Cut-Off and Grinding Wheels"	"Diamond Segment Cup Grinding Wheels"	"207743"	"1113"
"249745"	"Hardware"	"Door Hardware"	"Door Closers"	"316605"	"2967"
"185956"	"Cleaning"	"Paper Products and Dispensers"	"Paper Towels, Rolls"	"121886"	"1726"
"428760"	"Fleet and Vehicle Maintenance"	"Automotive Exterior"	"Trailer Lighting Kits"	"71628"	"3491"
"258067"	"Hand Tools"	"Measuring and Layout Tools"	"Scribers and Probes"	"311734"	"2817"
"542071"	"Adhesives, Sealants and Tape"	"Thread and Gasket Sealants"	"Pipe Sealant Tape"	"71745"	"1793"
"549629"	"Adhesives, Sealants and Tape"	"Glues and Cements"	"Epoxy"	"271984"	"1110"
"124591"	"Office Supplies"	"Writing and Correction"	"Correction Tape"	"114769"	"2488"
"550170"	"Power Transmission"	"Sheaves and Pulleys"	"V-Belt Pulleys"	"203371"	"939"
"601691"	"Outdoor Equipment"	"Sprayers and Spreaders"	"Compressed Air Sprayers"	"210778"	"3927"
"649979"	"Safety"	"Eye Protection and Accessories"	"Safety Glasses"	"274169"	"4505"
"319097"	"Cleaning"	"Brooms, Brushes, and Dust Pans"	"Scrub Brushes"	"53152"	"4355"
"230508"	"Safety"	"Gloves and Hand Protection"	"Cut-Resistant Gloves"	"118962"	"934"
"118562"	"Power Transmission"	"Power Transmission Belts"	"V-Belts"	"271940"	"1068"
"565917"	"Electrical"	"Fuses"	"Class RK5 Fuses"	"27513"	"1303"
"775374"	"Plumbing"	"Replacement Parts"	"Parts"	"126845"	"3874"
"374319"	"Safety"	"Eye Protection and Accessories"	"Safety Glasses"	"287254"	"9"
"700098"	"Power Tools"	"Drilling Accessories"	"Step Drill Bits"	"36109"	"1815"
"145495"	"Lighting"	"Lamps"	"Compact Fluorescent Lamps (CFL)"	"272508"	"1694"
"809681"	"Adhesives, Sealants and Tape"	"Thread and Gasket Sealants"	"Pipe Sealant Tape"	"180099"	"261"
"151890"	"Safety"	"Gloves and Hand Protection"	"Disposable Gloves"	"216106"	"3813"
"701116"	"Power Transmission"	"Sheaves and Pulleys"	"V-Belt Pulleys"	"292049"	"4209"
"415097"	"Fasteners"	"Rivets"	"Rivet Tools"	"290908"	"1793"
"669547"	"Power Transmission"	"Couplings, Collars, and Adapters"	"Jaw Coupling Hubs"	"265823"	"4209"
"871792"	"Safety"	"Eye Protection and Accessories"	"Safety Glasses"	"94078"	"720"
"533824"	"Material Handling"	"Structures and Sheds"	"Modular Pipe and Rail Fittings"	"256365"	"1793"
"374699"	"Hand Tools"	"Measuring and Layout Tools"	"Tape Measures"	"43185"	"4692"
"399958"	"Cleaning"	"Cleaning Chemicals"	"Cleaners"	"74776"	"3199"
"692340"	"Hardware"	"Door Hardware"	"Door Wedges"	"58350"	"424"
"786989"	"Hand Tools"	"Wrenches"	"Hex and Torx Key Sets"	"282872"	"1346"
"863052"	"Cleaning"	"Paper Products and Dispensers"	"Paper Towels, Rolls"	"205670"	"1726"
"482732"	"Safety"	"Head Protection"	"Hard Hat Accessories"	"84040"	"1523"
"653223"	"Electrical"	"Fuses"	"Multimeter Fuses"	"193387"	"1596"
"470695"	"HVAC and Refrigeration"	"Air Filters"	"Pleated Air Filters"	"301818"	"123"
"132917"	"Lubrication"	"Greases"	"Multipurpose Greases"	"120094"	"2795"
"545097"	"Hand Tools"	"Pliers"	"Tongue and Groove Pliers"	"52135"	"4692"
"101568"	"Safety"	"Lockout Tagout"	"Lockout Tags"	"290002"	"585"
"173984"	"Cleaning"	"Paper Products and Dispensers"	"Toilet Paper Dispensers"	"243083"	"1726"
"387075"	"Hand Tools"	"Plumbing Tools"	"Pipe and Tubing Cutters"	"182568"	"4692"
"339808"	"Adhesives, Sealants and Tape"	"Tapes"	"Duct and Cloth Tapes"	"124839"	"2876"
"719896"	"Safety"	"First Aid and Wound Care"	"Medicinals, Non Prescription Medication"	"320211"	"220"
"843516"	"Material Handling"	"Stretch Wrap and Stretch Wrap Equipment"	"Stretch Wrap Films"	"18757"	"1793"
"503059"	"Cleaning"	"Wet Mops, Squeegees, and Buckets"	"Mop Handles and Frames"	"285270"	"3606"
"1231888"	"Safety"	"Hearing Protection"	"Ear Plugs"	"277486"	"9"
"185956"	"Furniture, Hospitality and Food Service"	"Food Service Disposables and Dispensers"	"Napkins"	"242603"	"1726"
"428760"	"Fleet and Vehicle Maintenance"	"Tire and Wheel"	"Tire Pressure and Tread Depth Gauges"	"232972"	"1867"
"258067"	"Cleaning"	"Paper Products and Dispensers"	"Paper Towels, Rolls"	"184171"	"1726"
"542071"	"Adhesives, Sealants and Tape"	"Thread and Gasket Sealants"	"Pipe Sealant Tape"	"71741"	"1793"
"626495"	"Cleaning"	"Paper Products and Dispensers"	"Paper Towel Dispensers"	"184173"	"1391"
"124591"	"Office Supplies"	"Office Cleaners"	"Aerosol Dusters"	"119772"	"34"
"529613"	"HVAC and Refrigeration"	"Air Filters"	"Filter Media Rolls"	"265709"	"123"
"601691"	"Safety"	"Gloves and Hand Protection"	"Disposable Gloves"	"247220"	"258"
"649979"	"Adhesives, Sealants and Tape"	"Tapes"	"Electrical Tapes"	"100166"	"3706"
"319097"	"Cleaning"	"Brooms, Brushes, and Dust Pans"	"Trash Pickers and Grabbers"	"200782"	"4474"
"230508"	"Safety"	"Gloves and Hand Protection"	"Cut-Resistant Gloves"	"299878"	"934"
"118562"	"Fleet and Vehicle Maintenance"	"Automotive Chemicals"	"Antifreeze and Coolants"	"51461"	"4816"
"565917"	"Electrical"	"Fuses"	"Class CC Fuses"	"31782"	"1303"
"775374"	"Plumbing"	"Replacement Parts"	"Parts"	"126843"	"3874"
"374319"	"Safety"	"Gloves and Hand Protection"	"Cut-Resistant Gloves"	"250594"	"258"
"700098"	"Hand Tools"	"Tool Storage and Transfer Tanks"	"Tool Holders And Replacement Cases"	"123528"	"859"
"199584"	"Plumbing"	"Water Coolers, Dispensers and Fountains"	"Drinking Fountain Parts"	"295195"	"1358"
"809681"	"Abrasives"	"Sanding Discs and Kits"	"Flap Discs"	"85307"	"2966"
"151890"	"Safety"	"Gloves and Hand Protection"	"Disposable Gloves"	"216108"	"3813"
"646660"	"Safety"	"Head Protection"	"Hard Hats"	"252996"	"2847"
"415097"	"Hand Tools"	"Crimping Tools"	"Sheet Metal Folding Tools"	"312531"	"4739"
